material,epsilon_mode,pressure_mpa,thickness_nm,epsilon_r_t_zz,e33_c_per_m2,d33_c_per_n,d33_pm_per_v,delta_v_v,delta_v_mv,g_eff_vm_per_n,analytic_order
BiOBr,prompt,25.0,5.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,8.913901641043921e-05,0.08913901641043921,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,25.0,5.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,6.247681258840446e-05,0.06247681258840446,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,25.0,10.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,2.913886816317814e-05,0.029138868163178143,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,25.0,10.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.00017827803282087842,0.17827803282087842,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,25.0,10.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.00012495362517680892,0.12495362517680891,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,25.0,20.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,5.827773632635628e-05,0.058277736326356286,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,25.0,20.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.00035655606564175685,0.35655606564175685,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,25.0,20.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.00024990725035361783,0.24990725035361783,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,50.0,5.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,2.913886816317814e-05,0.029138868163178143,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,50.0,5.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.00017827803282087842,0.17827803282087842,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,50.0,5.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.00012495362517680892,0.12495362517680891,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,50.0,10.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,5.827773632635628e-05,0.058277736326356286,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,50.0,10.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.00035655606564175685,0.35655606564175685,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,50.0,10.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.00024990725035361783,0.24990725035361783,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,50.0,20.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00011655547265271257,0.11655547265271257,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,50.0,20.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.0007131121312835137,0.7131121312835137,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,50.0,20.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.0004998145007072357,0.49981450070723565,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,100.0,5.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,5.827773632635628e-05,0.058277736326356286,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,100.0,5.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.00035655606564175685,0.35655606564175685,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,100.0,5.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.00024990725035361783,0.24990725035361783,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,100.0,10.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00011655547265271257,0.11655547265271257,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,100.0,10.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.0007131121312835137,0.7131121312835137,0.0007131121312835137,BiOBr>BiOI>BiOCl
